Region Name,Live Frequency (Hz),Live Voltage (V),Power Quality Trends (Last Hour),Active Outages,Scheduled Outages,Users Affected,Average Voltage (V),Average Frequency (Hz),Power Stability (%)
Greater Accra,49.16,220,Stable,Town A | 2025-08-03 14:12 | 2h | 463 | Transformer fault || Community B | 2025-08-03 15:12 | 5h | 90 | Transformer fault,Area D | 2025-08-03 14:12 | 5h | 628 | Storm damage || Zone C | 2025-08-03 21:12 | 3h | 294 | Storm damage,3342,224,50.34,79%
Ashanti,49.91,244,Stable,Town A | 2025-08-03 17:12 | 5h | 626 | Transformer fault || Town A | 2025-08-03 16:12 | 2h | 568 | Storm damage,Community B | 2025-08-03 19:12 | 1h | 950 | Maintenance || Zone C | 2025-08-03 20:12 | 2h | 498 | Storm damage,4433,220,50.34,87%
Western,49.6,236,Stable,Community B | 2025-08-03 20:12 | 1h | 961 | Transformer fault || Community B | 2025-08-03 20:12 | 3h | 669 | Maintenance,Zone C | 2025-08-03 21:12 | 3h | 567 | Overload || Zone C | 2025-08-04 00:12 | 1h | 699 | Overload,2366,221,49.01,94%
Eastern,49.26,223,Fluctuating,Area D | 2025-08-03 16:12 | 4h | 624 | Transformer fault || Town A | 2025-08-03 23:12 | 2h | 608 | Transformer fault,Zone C | 2025-08-03 15:12 | 5h | 201 | Overload || Community B | 2025-08-04 00:12 | 3h | 423 | Transformer fault,3031,226,50.36,91%
Volta,49.21,239,Dropping,Community B | 2025-08-03 21:12 | 2h | 869 | Maintenance || Area D | 2025-08-04 00:12 | 2h | 804 | Storm damage,Area D | 2025-08-03 14:12 | 2h | 323 | Maintenance || Town A | 2025-08-03 18:12 | 1h | 929 | Overload,1922,226,50.63,84%
Northern,49.7,241,Fluctuating,Community B | 2025-08-04 00:12 | 2h | 458 | Storm damage || Zone C | 2025-08-03 23:12 | 3h | 409 | Overload,Zone C | 2025-08-04 00:12 | 1h | 948 | Storm damage || Community B | 2025-08-03 15:12 | 3h | 89 | Transformer fault,4987,233,49.69,95%
Upper East,49.63,234,Stable,Area D | 2025-08-03 15:12 | 2h | 310 | Transformer fault || Area D | 2025-08-04 00:12 | 5h | 997 | Maintenance,Zone C | 2025-08-03 18:12 | 1h | 730 | Storm damage || Zone C | 2025-08-03 14:12 | 1h | 787 | Storm damage,4254,229,50.33,80%
Upper West,49.8,224,Fluctuating,Community B | 2025-08-03 18:12 | 4h | 743 | Maintenance || Zone C | 2025-08-03 18:12 | 5h | 903 | Transformer fault,Zone C | 2025-08-03 20:12 | 2h | 490 | Storm damage || Area D | 2025-08-03 17:12 | 4h | 741 | Maintenance,4287,235,50.59,100%
Bono,50.59,220,Stable,Zone C | 2025-08-03 16:12 | 5h | 393 | Transformer fault || Community B | 2025-08-03 14:12 | 3h | 280 | Maintenance,Community B | 2025-08-04 00:12 | 1h | 300 | Overload || Town A | 2025-08-03 17:12 | 4h | 957 | Maintenance,3245,235,49.8,74%
Bono East,50.31,215,Stable,Area D | 2025-08-03 21:12 | 2h | 873 | Overload || Town A | 2025-08-03 16:12 | 2h | 989 | Transformer fault,Area D | 2025-08-03 22:12 | 4h | 733 | Storm damage || Area D | 2025-08-03 15:12 | 5h | 486 | Overload,1403,235,49.9,94%
Ahafo,49.49,235,Improving,Area D | 2025-08-03 14:12 | 2h | 331 | Overload || Town A | 2025-08-03 13:12 | 3h | 290 | Storm damage,Zone C | 2025-08-03 19:12 | 5h | 132 | Maintenance || Community B | 2025-08-03 21:12 | 4h | 760 | Maintenance,1852,222,49.83,80%
Western North,50.09,228,Stable,Community B | 2025-08-03 18:12 | 4h | 976 | Transformer fault || Area D | 2025-08-03 17:12 | 1h | 410 | Storm damage,Area D | 2025-08-03 18:12 | 5h | 815 | Maintenance || Area D | 2025-08-03 21:12 | 3h | 496 | Overload,337,232,49.67,91%
Savannah,50.6,238,Fluctuating,Area D | 2025-08-03 22:12 | 5h | 596 | Transformer fault || Area D | 2025-08-03 15:12 | 5h | 728 | Transformer fault,Town A | 2025-08-03 14:12 | 4h | 188 | Overload || Community B | 2025-08-04 00:12 | 3h | 438 | Storm damage,1833,234,49.65,94%
North East,50.76,223,Dropping,Zone C | 2025-08-03 23:12 | 4h | 69 | Transformer fault || Zone C | 2025-08-03 21:12 | 1h | 849 | Transformer fault,Town A | 2025-08-03 21:12 | 2h | 909 | Transformer fault || Community B | 2025-08-03 21:12 | 2h | 534 | Transformer fault,4720,226,49.93,78%
Oti,50.53,220,Stable,Community B | 2025-08-03 20:12 | 1h | 642 | Transformer fault || Zone C | 2025-08-03 15:12 | 4h | 456 | Maintenance,Town A | 2025-08-03 15:12 | 2h | 154 | Storm damage || Town A | 2025-08-03 15:12 | 1h | 405 | Overload,3135,222,50.01,80%
Central,49.03,228,Dropping,Town A | 2025-08-03 18:12 | 3h | 700 | Overload || Community B | 2025-08-03 18:12 | 2h | 801 | Storm damage,Area D | 2025-08-03 17:12 | 4h | 895 | Storm damage || Zone C | 2025-08-03 21:12 | 1h | 335 | Overload,2097,234,50.14,91%
